"make","model","year"
"Kawasaki","VN2000 Classic",2009
"Suzuki","RM-Z450",2009
"Suzuki","DR-Z125L",2009
"Honda","XL700V Transalp",2009
"Suzuki","GSX-R600",2008
"Kawasaki","Vulcan 900 Classic LT",2008
"Suzuki","KingQuad 400FS Camo",2009
"Suzuki","V-Strom 650 ABS",2008
"Suzuki","GSX1300R Hayabusa",2008
"Kawasaki","Vulcan 900 Custom",2008
"Kawasaki","KFX 50",2009
"Suzuki","GSX1300R Hayabusa",2009
"Ducati","Monster S4R Testastretta",2008
"Kawasaki","Vulcan 900 Custom",2009
"Suzuki","V-Strom 650A",2009
"Honda","FourTrax Rancher 4x4",2009
"Honda","CBF600",2009
"Suzuki","SFV650 Gladius",2009
"Honda","ST 1300",2008
"Suzuki","Boulevard S83",2008
"Suzuki","Boulevard S83",2009
"Honda","Gold Wing Audio/Comfort/Navi/XM/ABS",2009
"Honda","CBF125F",2009
"Suzuki","DR-Z70",2008
"Kawasaki","KVF 750 4x4",2009
"Honda","CBF 600",2008
"Honda","XL 700 V Transalp",2008
"Suzuki","DR-Z70",2009
"Kawasaki","Ninja 500R",2008
"Ducati","SportClassic Sport 1000 S",2009
"Honda","CB 1000 R",2008
"Suzuki","GS 50",2008
"Suzuki","Intruder 125",2009
"Honda","CBF 1000",2008
"Kawasaki","Ninja 500R",2009
"Kawasaki","KLR 650",2008
"Kawasaki","Prairie 360",2009
"Suzuki","Boulevard S40",2009
"Honda","TRX250X",2009
"Honda","ST1300 Pan European",2009
"Suzuki","Boulevard S40",2008
"Honda","CRF 250 R",2008
"Honda","Big Red",2009
"Suzuki","Burgman 400",2009
"Suzuki","SV650",2008
"Kawasaki","KFX 90",2009
"Ducati","Superbike 1098",2008
"Honda","SH 125i Sporty",2008
"Ducati","Superbike 848",2008
"Suzuki","VanVan",2008
"Suzuki","Intruder Classic 400",2008
"Suzuki","Burgman 400 ABS",2009
"Ducati","Superbike 848",2009
"Honda","CRF100F",2009
"Honda","CRF230F",2009
"Suzuki","Burgman 400",2008
